Siddharth Mishra ,sidd.mishra@berkeley.edu,Ashvin Verma,ashvin.verma@berkeley.edu,Vagmi Padmanabham,vagmipadmanabham@berkeley.edu,,,,,,
1,CL10A106MQ8NNNC,1276-1119-1-ND,"C2, C3, C11, C19 10 uf",0.083,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106MQ8NNNC/3886777,,,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10A106MQ8NNNC_Spec.pdf,20,20,1.66
1,CL10B105KP8NNNC,1276-1946-1-ND,C6 1 uf,0.038,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KP8NNNC/3887604,,,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B105KP8NNNC_Spec.pdf,10,10,0.38
1,CL10B104KB8NNWC,1276-1935-1-ND,"C7, C10, C13 0.1 uf",0.019,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNWC/3887593,,,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B104KB8NNWC_Spec.pdf,20,20,0.38
1,CL10B684KO8NFNC,1276-2114-1-ND,"C8, C18 0.68 uf",0.127,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B684KO8NFNC/3887772?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRAGYBOAJgBZ4BdAgBwBcoQBlVgJwEsAdgHMQAXwJhKADkoIQySOmz4ipEAAYQDcSGrras6PNSZcBYpDLqAdLCkACAK0AxLS3aQQAVQF9WAeRQAWRw0LABXHhwxAgBaWjkFJTMQADcBE2VzNTAwKmo3EDYOGJBYgqMFXnCVCzIAVi0dWPhKqGratXImuMMkdp4a7MtwJtFRIA,,,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B684KO8NFNC_Spec.pdf,10,10,1.27
1,CL10B103KB8NNNC,1276-1009-1-ND,"C12, C14, C21 0.01 uf",0.025,digikey.com/en/products/detail/samsung-electro-mechanics/CL10B103KB8NNNC/3886667,,,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B103KB8NNNC_Spec.pdf,20,20,0.5
1,CL10B682JB8NNNC,1276-2099-1-ND,"C9, 17 0.0068 uf",0.028,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B682JB8NNNC/3887757,,,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B682JB8NNNC_Spec.pdf,10,10,0.28
1,3314G-2-105E,3314G-2-105ECT-ND,RV1 1M,1.83,https://www.digikey.com/en/products/detail/bourns-inc/3314G-2-105E/2536124,,,https://www.bourns.com/docs/Product-Datasheets/3314.pdf,4,4,7.32
1,TL2233OA,141-TL2233OACT-ND,SW Push,0.47,https://www.digikey.com/en/products/detail/e-switch/TL2233OA/15220943,,,https://media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/TL2233%20Datasheet.pdf,4,4,1.88
1,AP2127N-3.3TRG1,AP2127N-3.3TRG1DICT-ND,LDO,0.39,https://www.digikey.com/en/products/detail/diodes-incorporated/ap2127n-3-3trg1/4470792,,,https://www.digikey.com/en/products/detail/diodes-incorporated/ap2127n-3-3trg1/4470792,3,3,1.17
1,CA3130MZ,CA3130MZ-ND,CA3130 OpAmp,3.5,https://www.digikey.com/en/products/detail/renesas-electronics-america-inc/CA3130MZ/1060751?s=N4IgjCBcpgnAHLKoDGUBmBDANgZwKYA0IA9lANogAMIAugL7EC0ATMiGpAC4BOArkVIUQAVjqMQTJNA5ReA4mUiUIDZgDZ2neYKWUAzOOaGZ2-ruFgaDCW2UdM+sPuv0gA,,,https://www.renesas.com/us/en/document/dst/ca3130-ca3130a-datasheet,6,6,21
1,61300311121,732-5316-ND,1x03 Conn Male,$0.13,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300311121/4846825,,,https://www.we-online.com/katalog/datasheet/6130xx11121.pdf,6,6,$0.78
1,AD8221ARZ,505-AD8221ARZ-ND,InAmp AD 8221,8.28,https://www.digikey.ca/en/products/detail/analog-devices-inc/AD8221ARZ/751149,,,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8221.pdf,4,4,33.12
1,,,Disposable Electrodes,19,https://bio-medical.com/technomed-silver-silver-chloride-cup-eeg-electrodes-10-pack-multi-color.html,,,,1,1,19
,,,Electrode Gel,3.9,"https://www.amazon.com/Spectra-PAR12-02-Parker-Laboratories-Electrode/dp/B00AMGUZ70/ref=sr_1_2?crid=1OSL7FOEG557U&keywords=electrode+gel&qid=1668144093&sprefix=electode+ge,aps,182&sr=8-2",,,,1,1,3.9
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,,
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,,
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,,
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
,,,,,,,,,,0,0
